bee;closeness;betweenness
Centris_trigonoides;0,02230844;0
Tetragonisca_angustula;0,02230844;0
Trigona_braueri;0,02473327;0,009433962
Trigona_spinipes;0,0257032;0,000961523
Xylocopa_truxali;0,0257032;0,000961523
Ceratina_minima;0,0271581;0,004048158
Pseudaugochlora_flammula;0,0271581;0,00157548
Xylocopa_fortuita;0,02764306;0,004749279
Augochlora_sp.05;0,02812803;0,007263712
Augochloropsis_sp.51;0,02812803;0,005099602
Augochloropsis_sp.53;0,02812803;0,008308579
Dialictus_sp.13;0,02812803;0,003137346
Centris_fuscata;0,028613;0,011608102
Thectochlora_alaris;0,02958293;0,019352885
Exomalopsis_fulvofasciata;0,0300679;0,02487686
Bombus_morio;0,03055286;0,058306068
Caenohalictus_sp.01;0,03103783;0,03359462
Melipona_quinquefasciata;0,03103783;0,034888923
Xylocopa_subcyanea;0,03103783;0,032167675
Apis_mellifera;0,03152279;0,022834503
Augochloropsis_sp.49;0,03152279;0,071467529
Augochloropsis_sp.50;0,03152279;0,043713955
Xylocopa_hirsutissima;0,03152279;0,064447953
Paratrigona_subnuda;0,03200776;0,066560169
Augochloropsis_sp.52;0,03249273;0,079037995
Paratetrapedia_lineata;0,03249273;0,08046494
Pseudaugochlora_graminea;0,03249273;0,083970196
Bombus_pauloensis;0,03297769;0,09372893
Centris_tarsata;0,03297769;0,09372893
