id_exp;id_flow;polen_expor;polen_depo;bee_sp;ch_sp;func_group
#602;f_1;3,8;2;Apis_mellifera;ch10;theft
#604;f_2;8,1;1;Apis_mellifera;ch10;theft
#606;f_3;3,3;2;Apis_mellifera;ch10;theft
#608;f_4;3,9;3;Apis_mellifera;ch10;theft
#610;f_5;3,5;3;Apis_mellifera;ch10;theft
#612;f_6;2,1;1;Apis_mellifera;ch10;theft
#156;f_7;4,3;1;Apis_mellifera;ch18;theft
#174;f_8;5;6;Apis_mellifera;ch18;theft
#175;f_9;9;4;Apis_mellifera;ch18;theft
#176;f_10;9,5;1;Apis_mellifera;ch18;theft
#177;f_11;12;2;Apis_mellifera;ch18;theft
#178;f_12;2,6;5;Apis_mellifera;ch18;theft
#799;f_13;9;2;Apis_mellifera;ch3;theft
#800;f_14;10;2;Apis_mellifera;ch3;theft
#801;f_15;8,5;4;Apis_mellifera;ch3;theft
#802;f_16;8,6;3;Apis_mellifera;ch3;theft
#563;f_17;9,5;5;Apis_mellifera;ch4;theft
#830;f_18;11;5;Apis_mellifera;ch4;theft
#831;f_19;10;3;Apis_mellifera;ch4;theft
#832;f_20;12;5;Apis_mellifera;ch4;theft
#863;f_21;4;1;Apis_mellifera;ch6;theft
#864;f_22;5;1;Apis_mellifera;ch6;theft
#865;f_23;10;1;Apis_mellifera;ch6;theft
#866;f_24;6;1;Apis_mellifera;ch6;theft
#128;f_25;3,5;5;Apis_mellifera;ch7;theft
#521;f_26;4;1;Apis_mellifera;ch7;theft
#522;f_27;8,3;2;Apis_mellifera;ch7;theft
#523;f_28;6;1;Apis_mellifera;ch7;theft
#179;f_1;1286;5;Augochlora_sp.05;ch16;ant_buzz
#182;f_2;1115,5;3;Augochlora_sp.05;ch16;ant_buzz
#183;f_3;1268,4;1;Augochlora_sp.05;ch16;ant_buzz
#188;f_4;1300,1;5;Augochlora_sp.05;ch16;ant_buzz
#189;f_5;1304,5;1;Augochlora_sp.05;ch16;ant_buzz
#204;f_6;1213,5;5;Augochlora_sp.05;ch16;ant_buzz
#205;f_7;1222,4;2;Augochlora_sp.05;ch16;ant_buzz
#206;f_8;1003,5;1;Augochlora_sp.05;ch16;ant_buzz
#207;f_9;1456,5;1;Augochlora_sp.05;ch16;ant_buzz
#208;f_10;1280,3;1;Augochlora_sp.05;ch16;ant_buzz
#209;f_11;1115;1;Augochlora_sp.05;ch16;ant_buzz
#210;f_12;1000,9;1;Augochlora_sp.05;ch16;ant_buzz
#369;f_13;911;1;Augochlora_sp.05;ch2;ant_buzz
#379;f_14;985,5;1;Augochlora_sp.05;ch2;ant_buzz
#785;f_15;1000,1;1;Augochlora_sp.05;ch2;ant_buzz
#232;f_16;2306,5;62;Augochlora_sp.05;ch3;ant_buzz
#268;f_17;2331;27;Augochlora_sp.05;ch3;ant_buzz
#803;f_18;2405,6;50;Augochlora_sp.05;ch3;ant_buzz
