bee	z_strength_freq	z_d_freq	c_freq	z_freq	z_strength_perf_f	z_d_perf_f	c_perf_fem	z_perf_fem	z_strength_perf_m	z_d_perf_m	c_perf_masc	z_perf_masc
Apis_mellifera	-0.337787904	-0.901236091	0.778	0	-1.140743848	-11.36758795	0.778	0.935	-0.091612315	-1.88005198	0.722	0
Augochlora_sp_05	-0.451147252	0.863991207	0.444	-0.985	-1.345385155	5.032512888	0.444	-0.935	-0.046313534	0.204092583	0.444	-0.611
Augochloropsis_sp_49	0.430142075	-0.001699428	0.408	1.071	0.245557314	-3.010311811	0.653	0.77	0.38805502	0.083094872	0.612	1.069
Augochloropsis_sp_50	0.053654184	-0.735957524	0.642	1.071	-0.434095279	-9.8320434	0.735	0.73	0.142172659	-0.655137699	0.656	1.069
Augochloropsis_sp_51	-0.535007898	0.187398943	0	-0.3	-1.496774104	-1.253465904	0.444	-0.385	-0.048835632	0.015871572	0	0.229
Augochloropsis_sp_52	0.252941566	-0.246033054	0.5	0.385	-0.074332883	-5.280328879	0.667	0.77	0.13733528	-0.365780036	0.5	1.069
Augochloropsis_sp_53	-0.446392051	0.253666053	0	-0.3	-1.336800856	-0.637801688	0	-0.385	-0.088961982	-0.49405184	0.444	-0.835
Bombus_morio	0.048446101	-0.502811294	0.64	1.069	-0.44349714	-7.665964452	0.5	0.73	0.812975452	-0.442332271	0.72	-0.835
Bombus_pauloensis	4.726352119	0.070800741	0.68	1.069	8.001265689	-2.336738453	0.79	1.464	5.175942837	-1.154758513	0.74	1.5
Caenohalictus_sp_01	-0.306789073	-0.576201695	0.688	0.385	-1.084783388	-8.347808643	0.64	0.935	0.037741604	-0.053404153	0.719	1.113
Centris_fuscata	-0.669899747	-0.216712732	0.667	-0.802	-1.740286834	-5.007924167	0	-0.586	-0.037411129	-0.034160997	0.5	-0.5
Centris_tarsata	0.989188966	-0.865089938	0.68	0	1.254773485	-11.03176687	0.75	0	0.915838617	-0.681329992	0.74	1.113
Centris_trigonoides	-0.731903429	-1.212972911	0	-0.802	-1.852218624	-14.2638242	0	-0.586	-0.08780124	-0.612096546	0	0
Ceratina_minima	-0.123175662	2.492693293	0.5	0	-0.753316337	20.16420639	0	-0.935	0.145996687	1.745215795	0.5	-0.835
Dialictus_sp_13	-0.443916455	0.944360828	0.5	0	-1.332331802	5.779198536	0	-0.935	-0.043890566	0.473702138	0.5	-0.835
Eufriesea_nigrohirta	-0.610364722	0.737449211	0	-0.802	-1.632811574	3.856856079	0	-0.586	-0.025581319	0.120121293	0	0
Exomalopsis_fulvofasciata	0.160846568	0.13102617	0.278	1.071	-0.240586846	-1.77720535	0.48	0.73	0.249926772	-0.123283285	0.444	1.113
Exomalopsis_tomentosa	-0.655646058	0.855329721	0	-1.67	-1.714555445	4.952042088	0.5	-1.095	-0.071886262	0.645833528	0	-1.45
Melipona_quinquefasciata	1.724883368	-0.417039354	0.563	1.071	2.582881556	-6.869087773	0.719	0.935	0.905612736	-0.323426247	0.656	1.113
Paratetrapedia_lineata	0.765181694	-0.400822362	0.716	0	0.85038565	-6.71842145	0.778	0	-0.061965133	-0.942877824	0.765	1.113
Paratrigona_subnuda	0.058294651	-1.182927215	0.75	0	-0.425718102	-13.98468029	0.781	0.935	-0.081060584	-0.833100203	0.75	-0.835
Pseudaugochlora_flammula	-0.7050942	-1.014731382	0.5	0	-1.803821417	-12.42203245	0	-1.54	-0.07438121	0.172221992	0.5	-0.835
Pseudaugochlora_graminea	-0.213872632	0.109229815	0.612	0.385	-0.917046519	-1.979707548	0.56	0.77	0	-0.526650263	0.778	-0.611
Tetragonisca_angustula	-0.731903429	-1.212972911	0	-0.802	-1.852218624	-14.2638242	0	-0.586	-0.091985577	-1.88005198	0	0
Thectochlora_alaris	-0.207115091	-0.330269666	0.32	0.385	-0.904847506	-6.06294137	1.038	0.77	-0.020255294	-0.763582874	0.48	1.113
Trigona_braueri	0.073258431	1.509815268	0	1.069	-0.398704825	11.03263521	0	-0.586	1.04419923	1.868142714	0.5	0
Trigona_spinipes	0.574178217	2.766449739	0.5	0	0.505577728	22.70758045	0.5	-0.935	1.485912085	2.974733236	0.5	0
Xylocopa_fortuita	-0.712692518	-1.18179113	0.5	0	-1.817538237	-13.97412532	0.5	0	-0.018798939	0.27585381	0.5	-0.5
Xylocopa_hirsutissima	-0.079006243	-0.727012196	0.722	0	-0.673579748	-9.748935523	0.722	1.464	0.666590142	0.002140612	0.722	-0.611
Xylocopa_subcyanea	0.736556855	-0.141204983	0.612	0.385	0.798710826	-4.306408449	0.667	0.77	2.078572646	0.512805749	0.571	1.069
Xylocopa_truxali	-0.590216716	0.566168387	0.5	0	-0.35124378	0.805976193	0	0	0.08976554	0.753782206	0.5	-0.5
