;Apis_mellifera;Augochlora_sp. 05;Augochloropsis_sp. 49;Augochloropsis_sp. 50;Augochloropsis_sp. 51;Augochloropsis_sp. 52;Augochloropsis_sp. 53;Bombus_morio;Bombus_pauloensis;Caenohalictus_sp. 01;Centris_fuscata;Centris_tarsata;Centris_trigonoides;Cerati0_minima;Dialictus_sp. 13;Eufriesea_nigrohirta;Exomalopsis_fulvofasciata;Exomalopsis_tomentosa;Melipo0_quinquefasciata;Oxaea_sp. 01;Paratetrapedia_lineata;Paratrigo0_subnuda;Pseudaugochlora_flammula;Pseudaugochlora_graminea;Ptiloglossa_sp.05;Syrphidae_sp. 01;Syrphidae_sp. 02;Tetragonisca_angustula;Thectochlora_alaris;Trigo0_braueri;Trigo0_spinipes;Xylocopa_fortuita;Xylocopa_hirsutissima;Xylocopa_subcyanea;Xylocopa_truxali
ch_10;0,36;0;4,22;0;0;0;0;526,3;4084,02;1,38;85,35;13,46;0;0;0;0;0;0;0;0;7,5;0,77;0;0;0;0;0;0;0;900,9;0;0;429,36;155,55;0
ch_12;0;0;3,42;0;0;7,8;0;962,54;3503,2;0;0;56,76;28,6;0;0;450,9;0;0;0;0;0,36;0,56;0;6,5;0;0;0;0,2;0;6078,48;0;0;157,35;0;0
ch_14;0;0;141,39;163,65;0;0;41,51;1420,2;2145,15;11,36;0;934,71;0;0;0;0;670,74;0;1186,6;363,51;9,32;0;0;147,6;0;0;0;0;44,3;0;0;0;0;0;0
ch_16;0;62,72;392,7;13,76;39,8;186,39;33,1;0;1623,18;27,99;0;143,04;0;0;0;0;10,84;0;209,58;0;5,18;1,89;4,24;8,5;0;0;0;0;30,25;0;0;0;0;708,9;0
ch_18;0,4;0;0;6,62;0;57,96;0;0;1104,48;2,63;0;115,43;0;1,69;0;0;0;0;307,65;0;0,32;1,32;0;3,7;0;0,12;0;0;0;0;7464,8;0;98,82;231,1;69,74
ch_2;0;0,01;178,5;253,3;0;177,45;0;0;580,14;0;0;206,57;0;0;0;0;192;0;155,09;0;0;0;0;171,92;828,24;0;0,3;0;16,48;0;0;0;1436,25;1613,4;0
ch_3;0,15;26,82;0;41,13;0;0;0;0;777,87;138,45;53,33;524,04;0;398,58;64,68;0;41,81;0;602,42;0;28,26;12,06;26,2;0;0;0,5;0,24;0;45,04;0;0;0;0;0;0
ch_4;0,15;0;6,9;18,42;4,42;4,5;0;293,52;638,1;25,5;0;87,6;0;0;0;0;111,28;28,05;144,12;0;0,33;0,54;0;0;0;0;0,08;0;0;0;0;0;0;947,75;0
ch_6;0,04;0;291,46;105,3;30,18;108,24;7,7;0;656,88;16,75;0;92,47;0;0;13,62;0;34,8;0;85,23;0;3,1;2,04;0;0;0;0,21;0,04;0;22,5;0;0;66,46;54,94;773,89;0
ch_7;0,03;0;0;14,12;0;0;0;233,76;1750,28;1,24;0;517,6;0;0;0;0;0;0;19,59;0;10,83;1,4;0;9,72;0;0;0,16;0;0;0;714,16;70,38;409,44;183,85;448,28
