;Apis_mellifera;Augochlora_sp.05;Augochloropsis_sp.49;Augochloropsis_sp.50;Augochloropsis_sp.51;Augochloropsis_sp.52;Augochloropsis_sp.53;Bombus_morio;Bombus_pauloensis;Caenohalictus_sp.01;Centris_fuscata;Centris_tarsata;Centris_trigonoides;Cerati0_minima;Dialictus_sp.13;Eufriesea_nigrohirta;Exomalopsis_fulvofasciata;Exomalopsis_tomentosa;Melipo0_quinquefasciata;Oxaea_sp.01;Paratetrapedia_lineata;Paratrigo0_subnuda;Pseudaugochlora_flammula;Pseudaugochlora_graminea;Ptiloglossa_sp.05;Syrphidae_sp.01;Syrphidae_sp.02;Tetragonisca_angustula;Thectochlora_alaris;Trigo0_braueri;Trigo0_spinipes;Xylocopa_fortuita;Xylocopa_hirsutissima;Xylocopa_subcyanea;Xylocopa_truxali
Ch_10;2;0;15;0;0;0;0;10;11;0;9;18;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;0;0;0;0;26;33;0
Ch_12;0;0;7;1;0;3;0;13;15;0;0;14;12;0;0;19;0;0;0;0;1;1;0;6;0;0;0;5;0;1;0;0;20;0;0
Ch_14;0;0;28;32;0;0;0;23;26;0;0;20;0;0;0;0;25;0;17;22;3;0;0;3;0;0;0;0;8;0;0;0;0;0;0
Ch_2;0;1;9;7;0;9;0;0;22;0;0;19;0;0;0;0;14;0;7;0;0;0;0;14;4;0;4;0;2;0;0;0;17;19;12
Ch_debilis;2;0;19;18;0;0;0;0;28;5;0;50;0;0;0;0;0;0;13;0;5;2;0;0;0;4;1;0;0;0;2;18;31;37;41
Ch_desvauxii;0;2;15;0;4;7;11;0;0;9;0;23;0;0;0;0;16;0;13;0;0;3;13;5;0;0;1;0;6;0;0;0;0;31;0
Ch_flexuosa;5;0;36;47;40;27;0;61;54;29;0;0;0;0;0;0;45;0;38;0;5;1;0;0;0;3;9;0;0;0;0;0;0;36;0
Ch_ramosa;1;0;20;13;16;22;18;0;27;7;0;11;0;0;0;0;11;15;12;0;2;3;0;15;0;1;0;0;11;0;0;15;21;25;0
Ch_rotundata;3;0;0;9;0;1;0;0;31;3;0;0;0;0;0;0;0;0;16;0;0;4;0;7;0;0;0;0;0;0;3;0;28;0;0
Ch_rotundifolia;3;44;0;10;0;0;0;0;38;46;0;39;0;21;19;0;0;0;57;0;9;16;0;0;0;10;6;0;0;0;0;0;0;0;0
