,Apis_mellifera,Augochlora_sp. 05,Augochloropsis_sp. 49,Augochloropsis_sp. 50,Augochloropsis_sp. 51,Augochloropsis_sp. 52,Augochloropsis_sp. 53,Bombus_morio,Bombus_pauloensis,Caenohalictus_sp. 01,Centris_fuscata,Centris_tarsata,Centris_trigonoides,Ceratina_minima,Dialictus_sp. 13,Eufriesea_nigrohirta,Exomalopsis_fulvofasciata,Exomalopsis_tomentosa,Melipona_quinquefasciata,Oxaea_sp. 01,Paratetrapedia_lineata,Paratrigona_subnuda,Pseudaugochlora_flammula,Pseudaugochlora_graminea,Ptiloglossa_sp.05,Syrphidae_sp. 01,Syrphidae_sp. 02,Tetragonisca_angustula,Thectochlora_alaris,Trigona_braueri,Trigona_spinipes,Xylocopa_fortuita,Xylocopa_hirsutissima,Xylocopa_subcyanea,Xylocopa_truxali
Ch_10,18,0,15,0,0,0,0,100,1782,0,45,18,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,312,165,0
Ch_12,0,0,7,0,0,6,0,221,2265,0,0,56,24,0,0,285,0,0,0,0,2,2,0,12,0,0,0,10,0,76,0,0,100,0,0
Ch_14,0,0,252,480,0,0,0,460,702,0,0,420,0,0,0,0,350,0,578,198,12,0,0,24,0,0,0,0,80,0,0,0,0,0,0
Ch_2,0,1,135,119,0,189,0,0,198,0,0,247,0,0,0,0,210,0,91,0,0,0,0,392,48,0,20,0,8,0,0,0,425,570,0
Ch_debilis,6,0,0,72,0,0,0,0,2128,5,0,2000,0,0,0,0,0,0,39,0,285,20,0,0,0,24,4,0,0,0,16,36,372,185,574
Ch_desvauxii,0,28,330,0,20,133,110,0,0,81,0,184,0,0,0,0,16,0,273,0,0,21,13,5,0,0,2,0,66,0,0,0,0,465,0
Ch_flexuosa,30,0,36,141,40,27,0,366,540,174,0,0,0,0,0,0,585,0,456,0,5,2,0,0,0,6,18,0,0,0,0,0,0,612,0
Ch_ramosa,2,0,520,117,96,264,36,0,378,35,0,77,0,0,0,0,33,0,108,0,20,36,0,90,0,3,0,0,66,0,0,15,21,325,0
Ch_distichoclada,15,0,0,9,0,12,0,0,558,3,0,0,0,0,0,0,0,0,560,0,0,48,0,7,0,0,0,0,0,0,258,0,84,0,0
Ch_rotundifolia,9,88,0,10,0,0,0,0,342,230,0,468,0,441,133,0,0,0,741,0,27,32,0,0,0,50,12,0,0,0,0,0,0,0,0
