,Apis_mellifera,Augochlora_sp. 05,Augochloropsis_sp. 49,Augochloropsis_sp. 50,Augochloropsis_sp. 51,Augochloropsis_sp. 52,Augochloropsis_sp. 53,Bombus_morio,Bombus_pauloensis,Caenohalictus_sp. 01,Centris_fuscata,Centris_tarsata,Centris_trigonoides,Ceratina_minima,Dialictus_sp. 13,Eufriesea_nigrohirta,Exomalopsis_fulvofasciata,Exomalopsis_tomentosa,Melipona_quinquefasciata,Oxaea_sp. 01,Paratetrapedia_lineata,Paratrigona_subnuda,Pseudaugochlora_flammula,Pseudaugochlora_graminea,Ptiloglossa_sp.05,Syrphidae_sp. 01,Syrphidae_sp. 02,Tetragonisca_angustula,Thectochlora_alaris,Trigona_braueri,Trigona_spinipes,Xylocopa_fortuita,Xylocopa_hirsutissima,Xylocopa_subcyanea,Xylocopa_truxali
Ch_10,9,0,1,1,0,0,0,10,162,1,5,1,0,0,0,0,0,0,0,0,30,7,0,0,0,0,0,0,0,11,0,0,12,5,0
Ch_12,0,0,1,0,0,2,0,17,151,0,0,4,2,0,0,15,0,0,0,0,2,2,0,2,0,0,0,2,0,76,0,0,5,0,0
Ch_14,0,0,9,15,0,0,7,20,27,2,0,21,0,0,0,0,14,0,34,9,4,0,0,8,0,0,0,0,10,0,0,0,0,0,0
Ch_2,0,1,15,17,0,21,0,0,9,0,0,13,0,0,0,0,15,0,13,0,0,0,0,28,12,0,5,0,4,0,0,0,25,30,0
Ch_debilis,3,0,0,4,0,0,0,4,76,1,0,40,0,0,0,0,0,0,3,0,57,10,0,3,0,6,4,0,0,0,8,2,12,5,14
Ch_desvauxii,0,14,22,1,5,19,10,0,26,9,0,8,0,0,0,0,1,0,21,0,14,7,1,1,0,0,2,0,11,0,0,0,0,15,0
Ch_flexuosa,3,0,1,3,1,1,0,6,10,6,0,6,0,0,0,0,13,3,12,0,1,2,0,0,0,2,2,0,0,0,0,0,0,17,0
Ch_ramosa,2,0,26,9,6,12,2,0,14,5,0,7,0,0,6,0,3,0,9,0,10,12,0,6,0,3,1,0,6,0,0,1,1,13,0
Ch_distichoclada,5,0,0,1,0,12,0,0,18,1,2,7,0,1,0,0,0,0,35,0,1,12,0,1,0,3,2,0,0,0,86,0,3,5,1
Ch_rotundifolia,3,2,0,1,0,0,0,0,9,5,1,12,0,21,7,0,1,0,13,0,3,2,1,0,0,5,2,0,2,0,0,0,0,0,0
