	Apis_mellifera	Augochlora_sp.05	Augochloropsis_sp.49	Augochloropsis_sp.50	Augochloropsis_sp.51	Augochloropsis_sp.52	Augochloropsis_sp.53	Bombus_morio	Bombus_pauloensis	Caenohalictus_sp.01	Centris_fuscata	Centris_tarsata	Centris_trigonoides	Cerati0_minima	Dialictus_sp.13	Eufriesea_nigrohirta	Exomalopsis_fulvofasciata	Exomalopsis_tomentosa	Melipo0_quinquefasciata	Oxaea_sp.01	Paratetrapedia_lineata	Paratrigo0_subnuda	Pseudaugochlora_flammula	Pseudaugochlora_graminea	Ptiloglossa_sp.05	Syrphidae_sp.01	Syrphidae_sp.02	Tetragonisca_angustula	Thectochlora_alaris	Trigo0_braueri	Trigo0_spinipes	Xylocopa_fortuita	Xylocopa_hirsutissima	Xylocopa_subcyanea	Xylocopa_truxali
ch_10	0.04	0	4.22	0	0	0	0	52.63	25.21	1.38	17.07	13.46	0	0	0	0	0	0	0	0	0.25	0.11	0	0	0	0	0	0.12	0	81.90	0	0	35.78	31.11	0
ch_12	0	0	3.42	0	0	3.90	0	56.62	23.20	0	0	14.19	14.30	0	0	30.06	0	0	0	0	0.18	0.28	0	3.25	0	0	0	0.10	0	79.98	0	0	31.47	0	0
ch_14	0	0	15.71	10.91	0	0	5.93	0	79.45	5.68	0	44.51	0	0	0	0	47.91	0	34.90	40.39	2.33	0	0	18.45	0	0	0	0	4.43	0	0	0	0	0	0
ch_16	0	4.48	17.85	13.76	7.96	9.81	3.31	0	62.43	3.11	0	17.88	0	0	0	0	10.84	0	9.98	0	0.37	0.27	4.24	8.50	0	0	0	0	2.75	0	0	0	0	47.26	0
ch_18	0.08	0	0	6.62	0	4.83	0	0	61.36	2.63	0	16.49	0	1.69	0	0	0	0	8.79	0	0.32	0.11	0	3.70	0	0.04	0	0	0	0	86.80	0	32.94	46.22	69.74
ch_2	0	0.01	11.90	14.90	0	8.45	0	0	64.46	0	0	15.89	0	0	0	0	12.80	0	11.93	0	0	0	0	6.14	69.02	0	0.06	0	4.12	0	0	0	57.45	53.78	0
ch_3	0.05	13.41	0	41.13	0	0	0	0	86.43	27.69	53.33	43.67	0	18.98	9.24	0	41.81	0	46.34	0	9.42	6.03	26.20	0	0	0.10	0.12	0	22.52	0	0	0	0	67.13	0
ch_4	0.05	0	6.90	6.14	4.42	4.5	0	48.92	63.81	4.25	0	14.60	0	0	0	0	8.56	9.35	12.01	0	0.33	0.27	0	0	0	0	0.04	0	0	0	0	0	0	55.75	0
ch_6	0	0	11.21	11.70	5.03	9.02	3.85	0	46.92	3.35	0	13.21	0	0	2.27	0	11.60	0	9.47	0	0.31	0.17	0	0	0	0.07	0.04	0	3.75	0	0	66.46	54.94	59.53	0
ch_7	0.01	0	0	3.53	0	0	0	58.44	23.03	1.24	0	12.94	0	0	0	0	0	0	6.53	0	0.19	0.14	0	3.24	0	0	0.04	0	0	0	89.27	35.19	34.12	36.77	32.02
