bee	func_group	c_freq	z_freq	c_perf_fem	z_perf_fem	c_perf_masc	z_perf_masc	c_remo	z_remo	c_depo	z_depo
Apis_mellifera	theft	0.778	0	0.778	0.935	0.722	0	0.640	0.000	0.722	1.044
Augochlora_sp_05	ant_buzz	0.444	-0.985	0.444	-0.935	0.444	-0.611	0.444	-0.117	0.667	-0.870
Augochloropsis_sp_49	ant_buzz	0.408	1.071	0.653	0.77	0.612	1.069	0.653	-0.117	0.719	0.802
Augochloropsis_sp_50	ant_buzz	0.642	1.071	0.735	0.73	0.656	1.069	0.719	1.056	0.781	0.802
Augochloropsis_sp_51	ant_buzz	0	-0.3	0.444	-0.385	0	0.229	0.667	-1.291	0.444	-1.069
Augochloropsis_sp_52	ant_buzz	0.5	0.385	0.667	0.77	0.5	1.069	0.722	0.645	0.778	0.645
Augochloropsis_sp_53	ant_buzz	0	-0.3	0	-0.385	0.444	-0.835	0.444	-0.117	0.000	0.645
Bombus_morio	flow_buzz	0.64	1.069	0.5	0.73	0.72	-0.835	0.375	1.633	0.625	0.802
Bombus_pauloensis	flow_buzz	0.68	1.069	0.79	1.464	0.74	1.5	0.740	1.056	0.765	1.044
Caenohalictus_sp_01	ant_buzz	0.688	0.385	0.64	0.935	0.719	1.113	0.719	1.056	0.722	1.044
Centris_fuscata	ant_buzz	0.667	-0.802	0	-0.586	0.5	-0.5	0.500	-1.291	0.000	-1.000
Centris_tarsata	ant_buzz	0.68	0	0.75	0	0.74	1.113	0.740	1.056	0.750	1.000
Centris_trigonoides	ant_buzz	0	-0.802	0	-0.586	0	0	0.000	-0.816	0.000	0.000
Ceratina_minima	ant_buzz	0.5	0	0	-0.935	0.5	-0.835	0.500	-1.291	0.000	-0.870
Dialictus_sp_13	ant_buzz	0.5	0	0	-0.935	0.5	-0.835	0.500	-1.291	0.000	-0.870
Eufriesea_nigrohirta	flow_buzz	0	-0.802	0	-0.586	0	0	0.000	-0.816	0.000	0.000
Exomalopsis_fulvofasciata	ant_buzz	0.278	1.071	0.48	0.73	0.444	1.113	0.611	1.056	0.640	0.802
Exomalopsis_tomentosa	ant_buzz	0	-1.67	0.5	-1.095	0	-1.45	0.000	-0.816	0.000	-1.291
Melipona_quinquefasciata	ant_buzz	0.563	1.071	0.719	0.935	0.656	1.113	0.719	1.056	0.750	1.044
Paratetrapedia_lineata	theft	0.716	0	0.778	0	0.765	1.113	0.716	1.056	0.778	-0.870
Paratrigona_subnuda	theft	0.75	0	0.781	0.935	0.75	-0.835	0.719	-0.117	0.781	1.044
Pseudaugochlora_flammula	ant_buzz	0.5	0	0	-1.54	0.5	-0.835	0.000	-0.117	0.000	-1.291
Pseudaugochlora_graminea	ant_buzz	0.612	0.385	0.56	0.77	0.778	-0.611	0.722	-0.117	0.778	0.645
Tetragonisca_angustula	theft	0	-0.802	0	-0.586	0	0	0.000	0.408	0.500	0.000
Thectochlora_alaris	ant_buzz	0.32	0.385	1.038	0.77	0.48	1.113	0.480	1.056	0.625	0.645
Trigona_braueri	robber	0	1.069	0	-0.586	0.5	0	0.000	0.408	0.000	0.000
Trigona_spinipes	robber	0.5	0	0.5	-0.935	0.5	0	0.000	0.000	0.500	-0.870
Xylocopa_fortuita	flow_buzz	0.5	0	0.5	0	0.5	-0.5	0.500	-1.291	0.500	-1.000
Xylocopa_hirsutissima	flow_buzz	0.722	0	0.722	1.464	0.722	-0.611	0.667	0.645	0.667	1.000
Xylocopa_subcyanea	flow_buzz	0.612	0.385	0.667	0.77	0.571	1.069	0.750	0.645	0.611	1.000
Xylocopa_truxali	flow_buzz	0.5	0	0	0	0.5	-0.5	0.000	0.000	0.000	0.000
