bee;z_strength_freq;z_d_freq;z_strength_perf_f;z_d_perf_f;z_strength_perf_m;z_d_perf_m;z_strength_depo;z_d_depo;z_strength_remo;z_d_remo
Apis_mellifera;-0,337787904;-0,901236091;-1,140743848;-11,36758795;-0,091612315;-1,88005198;-0,657959133;-1,232195835;-0,737961955;-1,544845286
Augochlora_sp..05;-0,451147252;0,863991207;-1,345385155;5,032512888;-0,046313534;0,204092583;-0,403189565;1,001189131;-0,620538317;-1,299031322
Augochloropsis_sp..49;0,430142075;-0,001699428;0,245557314;-3,010311811;0,38805502;0,083094872;1,262200157;-1,254314442;-0,067445528;-0,141190077
Augochloropsis_sp..50;0,053654184;-0,735957524;-0,434095279;-9,8320434;0,142172659;-0,655137699;0,816124526;-1,136683421;0,073893719;0,154688684
Augochloropsis_sp..51;-0,535007898;0,187398943;-1,496774104;-1,253465904;-0,048835632;0,015871572;-0,340894096;-0,049027144;-0,558806559;-1,169802417
Augochloropsis_sp..52;0,252941566;-0,246033054;-0,074332883;-5,280328879;0,13733528;-0,365780036;-0,018378119;-0,645074159;-0,362261428;-0,758355978
Augochloropsis_sp..53;-0,446392051;0,253666053;-1,336800856;-0,637801688;-0,088961982;-0,49405184;-0,467004987;0,591196728;-0,620404519;-1,29875123
Bombus_morio;0,048446101;-0,502811294;-0,44349714;-7,665964452;0,812975452;-0,442332271;0,479965285;0,104635524;1,317095803;2,757200733
Bombus_pauloensis;4,726352119;0,070800741;8,001265689;-2,336738453;5,175942837;-1,154758513;2,921694703;-1,505409111;3,778187056;7,909234922
Caenohalictus_sp..01;-0,306789073;-0,576201695;-1,084783388;-8,347808643;0,037741604;-0,053404153;0,172733149;-0,669212185;-0,400452744;-0,838305457
Centris_fuscata;-0,669899747;-0,216712732;-1,740286834;-5,007924167;-0,037411129;-0,034160997;-0,67745807;1,409033376;-0,303070585;-0,63444621
Centris_tarsata;0,989188966;-0,865089938;1,254773485;-11,03176687;0,915838617;-0,681329992;2,125864142;-0,901734057;0,946036413;1,980427154
Centris_trigonoides;-0,731903429;-1,212972911;-1,852218624;-14,2638242;-0,08780124;-0,612096546;-0,577296735;1,763644207;-0,597930478;-1,251704202
Ceratina_minima;-0,123175662;2,492693293;-0,753316337;20,16420639;0,145996687;1,745215795;-0,689158725;0,824624073;-0,631356075;-1,321677154
Dialictus_sp..13;-0,443916455;0,944360828;-1,332331802;5,779198536;-0,043890566;0,473702138;-0,70888924;0,766840523;-0,674458701;-1,411907943
Eufriesea_nigrohirta;-0,610364722;0,737449211;-1,632811574;3,856856079;-0,025581319;0,120121293;-0,391194498;2,135343531;-0,441544299;-0,92432628
Exomalopsis_fulvofasciata;0,160846568;0,13102617;-0,240586846;-1,77720535;0,249926772;-0,123283285;0,526263471;-0,50049643;0,283791325;0,594087119
Exomalopsis_tomentosa;-0,655646058;0,855329721;-1,714555445;4,952042088;-0,071886262;0,645833528;-0,719422074;0,87724192;-0,638908273;-1,337486883
Melipona_quinquefasciata;1,724883368;-0,417039354;2,582881556;-6,869087773;0,905612736;-0,323426247;1,358131931;-1,225286001;0,317767487;0,665212618
Oxaea_sp..01;-0,613136849;1,080218724;-1,637815941;7,041406073;-0,009201584;0,558153012;-0,562912021;1,465685689;-0,403106821;-0,843861486
Paratetrapedia_lineata;0,765181694;-0,400822362;0,85038565;-6,71842145;-0,061965133;-0,942877824;-0,619093227;-1,30154082;-0,654396245;-1,369909312
Paratrigona_subnuda;0,058294651;-1,182927215;-0,425718102;-13,98468029;-0,081060584;-0,833100203;-0,419249163;-0,92363995;-0,696227711;-1,457479062
Pseudaugochlora_flammula;-0,7050942;-1,014731382;-1,803821417;-12,42203245;-0,07438121;0,172221992;-0,639832437;1,443347386;-0,558898091;-1,169994029
Pseudaugochlora_graminea;-0,213872632;0,109229815;-0,917046519;-1,979707548;0;-0,526650263;0,067856944;-0,330337281;-0,354909128;-0,742964715
Ptiloglossa_sp.05;-0,599037889;1,028026889;-1,612363874;6,556510236;0,14443918;1,360311592;-0,81790034;0,478179332;-0,199741114;-0,418136893
Tetragonisca_angustula;-0,731903429;-1,212972911;-1,852218624;-14,2638242;-0,091985577;-1,88005198;-0,690441949;0,581639836;-0,737656587;-1,544206031
Thectochlora_alaris;-0,207115091;-0,330269666;-0,904847506;-6,06294137;-0,020255294;-0,763582874;-0,487757206;-0,283028493;-0,494409893;-1,03499481
Trigona_braueri;0,073258431;1,509815268;-0,398704825;11,03263521;1,04419923;1,868142714;-0,869743107;-0,465502647;0,859310805;1,798876267
Trigona_spinipes;0,574178217;2,766449739;0,505577728;22,70758045;1,485912085;2,974733236;-0,783963242;-0,062267393;0,603206786;1,262749595
Xylocopa_fortuita;-0,712692518;-1,18179113;-1,817538237;-13,97412532;-0,018798939;0,27585381;-0,514825203;0,294678014;0,080789977;0,16912527
Xylocopa_hirsutissima;-0,079006243;-0,727012196;-0,673579748;-9,748935523;0,666590142;0,002140612;2,037613167;0,072381715;1,340095474;2,805348111
Xylocopa_subcyanea;0,736556855;-0,141204983;0,798710826;-4,306408449;2,078572646;0,512805749;1,864817138;-0,556133258;2,596545078;5,435592444
Xylocopa_truxali;-0,590216716;0,566168387;-0,35124378;0,805976193;0,08976554;0,753782206;-0,195016538;1,0327693;0,033892456;0,070950271
