plant_specie;species_strength;d;z_strength_freq;z_d_freq;z_strength_perf_f;z_d_perf_f;z_strength_perf_m;z_d_perf_m;z_strength_depo;z_d_depo;z_strength_remo;z_d_remo
Ch_10;2,559956;0,3414719;-1,059786;-0,263219011;-4,072663;-10,02891866;-1,026750;-0,826121369;-0,903703727;0,04850436;-0,621970;-0,017265545
Ch_12;4,756352;0,5020191;1,416386;1,356577248;-1,811431;16,78415752;0,842693;1,090936387;0,586849915;1,015289706;0,102568;1,750520593
Ch_14;3,331862;0,3248548;-0,189555;-0,430872613;-3,277971;-12,80414967;1,019072;0,221020261;-0,623530398;0,007353902;0,034966;1,099151153
Ch_2;4,312057;0,424195;0,915496;0,571392667;-2,268841;3,786711776;0,324468;0,76569477;-0,647270474;-1,469965158;-0,367932;-0,290830343
Ch_debilis;4,061408;0,2821431;0,632920;-0,861800414;-2,526889;-19,93745418;-0,659228;-1,20239138;0,037070237;-0,33131111;-0,623722;-0,340739577
Ch_desvauxii;4,370052;0,4017528;0,980879;0,34496834;-2,209134;0,03862761;0,090257;-0,702699523;-0,542261648;-0,34227175;-0,424661;-1,265925741
Ch_flexuosa;2,293045;0,2570908;-1,360696;-1,114558617;-4,347453;-24,12145258;-0,974583;-0,853939344;0,86014729;-0,003246866;-0,363121;-1,208502097
Ch_ramosa;3,623326;0,2247884;0,139035;-1,440464685;-2,977903;-29,51629417;-0,529223;-0,696040954;0,783189101;-1,07675323;-0,102525;-0,713499655
Ch_distichoclada;2,330371;0,5177151;-1,318616;1,514937668;-4,309025;19,40555512;-0,957954;1,77676279;-1,40028129;0,050713788;-0,390710;0,010193272
Ch_rotundifolia;3,361571;0,3995793;-0,156062;0,323039417;-3,247385;-0,324369821;1,871248;0,426778361;1,849791722;2,101686357;2,757108;0,97689794
