"","c","z"
"Apis_mellifera",0.722222222222222,1.04446593573419
"Augochlora_sp.05",0.666666666666667,-0.870388279778489
"Augochloropsis_sp.49",0.71875,0.801783725737273
"Augochloropsis_sp.50",0.78125,0.801783725737273
"Augochloropsis_sp.51",0.444444444444444,-1.0690449676497
"Augochloropsis_sp.52",0.777777777777778,0.645497224367903
"Augochloropsis_sp.53",0,0.645497224367903
"Bombus_morio",0.625,0.801783725737273
"Bombus_pauloensis",0.765432098765432,1.04446593573419
"Caenohalictus_sp.01",0.722222222222222,1.04446593573419
"Centris_fuscata",0,-1
"Centris_tarsata",0.75,1
"Centris_trigonoides",0,0
"Cerati0_minima",0,-0.870388279778489
"Dialictus_sp.13",0,-0.870388279778489
"Eufriesea_nigrohirta",0,0
"Exomalopsis_fulvofasciata",0.64,0.801783725737273
"Exomalopsis_tomentosa",0,-1.29099444873581
"Melipo0_quinquefasciata",0.75,1.04446593573419
"Oxaea_sp.01",0,-1.0690449676497
"Paratetrapedia_lineata",0.777777777777778,-0.870388279778489
"Paratrigo0_subnuda",0.78125,1.04446593573419
"Pseudaugochlora_flammula",0,-1.29099444873581
"Pseudaugochlora_graminea",0.777777777777778,0.645497224367903
"Ptiloglossa_sp.05",0,-1
"Syrphidae_sp.01",0.75,-0.870388279778489
"Syrphidae_sp.02",0.72,-1.0690449676497
"Tetragonisca_angustula",0.5,0
"Thectochlora_alaris",0.625,0.645497224367903
"Trigo0_braueri",0,0
"Trigo0_spinipes",0.5,-0.870388279778489
"Xylocopa_fortuita",0.5,-1
"Xylocopa_hirsutissima",0.666666666666667,1
"Xylocopa_subcyanea",0.611111111111111,1
"Xylocopa_truxali",0,0
