"","c","z"
"Apis_mellifera",0.777777777777778,0
"Augochlora_sp..05",0.444444444444444,-0.985151502747648
"Augochloropsis_sp..49",0.408163265306122,1.07081685081266
"Augochloropsis_sp..50",0.641975308641975,1.07081685081266
"Augochloropsis_sp..51",0,-0.299828718227545
"Augochloropsis_sp..52",0.5,0.385494066292558
"Augochloropsis_sp..53",0,-0.299828718227545
"Bombus_morio",0.64,1.0690449676497
"Bombus_pauloensis",0.68,1.0690449676497
"Caenohalictus_sp..01",0.6875,0.385494066292558
"Centris_fuscata",0.666666666666667,-0.801783725737273
"Centris_tarsata",0.68,0
"Centris_trigonoides",0,-0.801783725737273
"Ceratina_minima",0.5,0
"Dialictus_sp..13",0.5,0
"Eufriesea_nigrohirta",0,-0.801783725737273
"Exomalopsis_fulvofasciata",0.277777777777778,1.07081685081266
"Exomalopsis_tomentosa",0,-1.67047428726775
"Melipona_quinquefasciata",0.5625,1.07081685081266
"Oxaea_sp..01",0,-1.67047428726775
"Paratetrapedia_lineata",0.71604938271605,0
"Paratrigona_subnuda",0.75,0
"Pseudaugochlora_flammula",0.5,0
"Pseudaugochlora_graminea",0.612244897959184,0.385494066292558
"Ptiloglossa_sp.05",0,-1.67047428726775
"Syrphidae_sp..01",0.72,0
"Syrphidae_sp..02",0.612244897959184,0.385494066292558
"Tetragonisca_angustula",0,-0.801783725737273
"Thectochlora_alaris",0.32,0.385494066292558
"Trigona_braueri",0,1.0690449676497
"Trigona_spinipes",0.5,0
"Xylocopa_fortuita",0.5,0
"Xylocopa_hirsutissima",0.722222222222222,0
"Xylocopa_subcyanea",0.612244897959184,0.385494066292558
"Xylocopa_truxali",0.5,0
