"","c","z"
"Apis_mellifera",0.722222222222222,0
"Augochlora_sp..05",0.444444444444444,-0.610704816552459
"Augochloropsis_sp..49",0.612244897959184,1.0687334289668
"Augochloropsis_sp..50",0.65625,1.0687334289668
"Augochloropsis_sp..51",0,0.229014306207172
"Augochloropsis_sp..52",0.5,1.0687334289668
"Augochloropsis_sp..53",0.444444444444444,-0.83452296039628
"Bombus_morio",0.72,-0.83452296039628
"Bombus_pauloensis",0.74,1.5
"Caenohalictus_sp..01",0.71875,1.11269728052837
"Centris_fuscata",0.5,-0.5
"Centris_tarsata",0.74,1.11269728052837
"Centris_trigonoides",0,0
"Cerati0_minima",0.5,-0.83452296039628
"Dialictus_sp..13",0.5,-0.83452296039628
"Eufriesea_nigrohirta",0,0
"Exomalopsis_fulvofasciata",0.444444444444444,1.11269728052837
"Exomalopsis_tomentosa",0,-1.45042393931209
"Melipo0_quinquefasciata",0.65625,1.11269728052837
"Oxaea_sp..01",0,-0.83452296039628
"Paratetrapedia_lineata",0.765432098765432,1.11269728052837
"Paratrigo0_subnuda",0.75,-0.83452296039628
"Pseudaugochlora_flammula",0.5,-0.83452296039628
"Pseudaugochlora_graminea",0.777777777777778,-0.610704816552459
"Ptiloglossa_sp.05",0,-1.45042393931209
"Syrphidae_sp..01",0.666666666666667,-0.83452296039628
"Syrphidae_sp..02",0.56,0.229014306207172
"Tetragonisca_angustula",0,0
"Thectochlora_alaris",0.48,1.11269728052837
"Trigo0_braueri",0.5,0
"Trigo0_spinipes",0.5,0
"Xylocopa_fortuita",0.5,-0.5
"Xylocopa_hirsutissima",0.722222222222222,-0.610704816552459
"Xylocopa_subcyanea",0.571428571428571,1.0687334289668
"Xylocopa_truxali",0.5,-0.5
