"","c","z"
"Apis_mellifera",0.777777777777778,1.05409255338946
"Augochlora_sp..05",0.444444444444444,-0.843274042711568
"Augochloropsis_sp..49",0.653061224489796,0.850265146687862
"Augochloropsis_sp..50",0.73469387755102,0.5
"Augochloropsis_sp..51",0.444444444444444,-0.364399348580512
"Augochloropsis_sp..52",0.666666666666667,0.850265146687862
"Augochloropsis_sp..53",0,-0.364399348580512
"Bombus_morio",0.5,0.5
"Bombus_pauloensis",0.790123456790123,1.4638501094228
"Caenohalictus_sp..01",0.722222222222222,1.05409255338946
"Centris_fuscata",0,-0.58554004376912
"Centris_tarsata",0.75,0
"Centris_trigonoides",0,-0.58554004376912
"Ceratina_minima",0,-0.843274042711568
"Dialictus_sp..13",0,-0.843274042711568
"Eufriesea_nigrohirta",0,-0.58554004376912
"Exomalopsis_fulvofasciata",0.48,0.5
"Melipona_quinquefasciata",0.71875,1.05409255338946
"Oxaea_sp..01",0,-1.5
"Paratetrapedia_lineata",0.777777777777778,0
"Paratrigona_subnuda",0.78125,1.05409255338946
"Pseudaugochlora_flammula",0,-1.57906384384889
"Pseudaugochlora_graminea",0.666666666666667,0.850265146687862
"Ptiloglossa_sp.05",0,-1.57906384384889
"Syrphidae_sp..01",0.75,-0.843274042711568
"Syrphidae_sp..02",0.72,-0.364399348580512
"Tetragonisca_angustula",0,-0.58554004376912
"Thectochlora_alaris",0.375,0.850265146687862
"Trigona_braueri",0,-0.58554004376912
"Trigona_spinipes",0.5,-0.843274042711568
"Xylocopa_fortuita",0.5,0
"Xylocopa_hirsutissima",0.722222222222222,1.4638501094228
"Xylocopa_subcyanea",0.666666666666667,0.850265146687862
"Xylocopa_truxali",0,0
