"","c","z"
"Apis_mellifera",0.64,0
"Augochlora_sp.05",0.444444444444444,-0.117337615205138
"Augochloropsis_sp.49",0.653061224489796,-0.117337615205138
"Augochloropsis_sp.50",0.71875,1.05603853684624
"Augochloropsis_sp.51",0.666666666666667,-1.29071376725652
"Augochloropsis_sp.52",0.722222222222222,0.645497224367903
"Augochloropsis_sp.53",0.444444444444444,-0.117337615205138
"Bombus_morio",0.375,1.63299316185545
"Bombus_pauloensis",0.74,1.05603853684624
"Caenohalictus_sp.01",0.71875,1.05603853684624
"Centris_fuscata",0.5,-1.29071376725652
"Centris_tarsata",0.74,1.05603853684624
"Centris_trigonoides",0,-0.816496580927726
"Cerati0_minima",0.5,-1.29071376725652
"Dialictus_sp.13",0.5,-1.29071376725652
"Eufriesea_nigrohirta",0,-0.816496580927726
"Exomalopsis_fulvofasciata",0.611111111111111,1.05603853684624
"Exomalopsis_tomentosa",0,-0.816496580927726
"Melipo0_quinquefasciata",0.71875,1.05603853684624
"Oxaea_sp.01",0,-1.29071376725652
"Paratetrapedia_lineata",0.71604938271605,1.05603853684624
"Paratrigo0_subnuda",0.71875,-0.117337615205138
"Pseudaugochlora_flammula",0,-0.117337615205138
"Pseudaugochlora_graminea",0.722222222222222,-0.117337615205138
"Ptiloglossa_sp.05",0,-1.29099444873581
"Syrphidae_sp.01",0.666666666666667,-1.29071376725652
"Syrphidae_sp.02",0.72,0.645497224367903
"Tetragonisca_angustula",0,0.408248290463863
"Thectochlora_alaris",0.48,1.05603853684624
"Trigo0_braueri",0,0.408248290463863
"Trigo0_spinipes",0,0
"Xylocopa_fortuita",0.5,-1.29099444873581
"Xylocopa_hirsutissima",0.666666666666667,0.645497224367903
"Xylocopa_subcyanea",0.75,0.645497224367903
"Xylocopa_truxali",0,0
